"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","4","0","29","0","0"
"","Sorting - Cajic","Insertion sort","0","0","6","0","0"
"","Yang Hu","Bubble sorting","0","0","5","0","0"
"","Durr Vie","T9","1","0","0","0","0"
"","Stephens","Find factors, v2","0","0","4","0","0"
"","Foxford","Factorization","0","0","1","0","0"
"","Stephens","Find primes","0","0","4","0","0"
"","Stephens","Is prime","2","0","2","0","0"
"","Foxford","Is prime number","0","0","2","0","0"
"","Sorting - Cajic","Bubble sort","0","0","6","0","0"
"","Stephens","Find factors, v1","0","0","4","0","0"
"","Stephens","Counting sorting","1","0","0","0","0"
"","Foxford","Primes series","0","0","1","0","0"
"","Stephens","Bubble sorting","1","0","0","0","0"
"","Stephens","Bucket sorting","1","0","0","0","0"
"","Foxford","Primes sum","0","0","1","0","0"
"","Durr Vie","Anagrams","0","0","1","0","0"
"","Foxford","Palindrome","0","0","4","0","0"
"","Foxford","Towers","0","0","3","0","0"
